feature,col,rank,MI,ANOVA_F,point_biserial,L1_coef,LGB_gain,perm,SHAP,consensus,rank_std,rk_MI,rk_ANOVA_F,rk_point_biserial,rk_L1_coef,rk_LGB_gain,rk_perm,rk_SHAP
Số loại BH nhân thọ-sức khoẻ,dom_life_health_ntypes,91,0.00163,17.35112,0.05452,0.0,0.83547,0.0,0.00023,48.21429,18.02743,53,67,67,27,32,61,30
Đóng phí BH TN bên thứ ba (nông nghiệp),46,92,0.00033,2.72438,0.02163,0.02168,10.68504,0.0001,0.01109,47.57143,20.45203,21,38,38,62,39,84,51
Tôn giáo khác,8,93,0.00104,0.09497,0.00404,0.03856,217.55485,-0.00115,0.05174,47.42857,37.87196,44,5,5,68,94,25,91
Quy mô hộ TB,3,94,0.00089,7.37425,0.03557,0.04141,41.9326,-0.00207,0.0107,47.14286,18.13311,39,52,52,71,54,12,50
Đóng phí BH rơ-moóc,51,95,0.00031,0.92831,0.01263,0.07746,16.54053,9e-05,0.00253,47.0,28.0238,20,26,26,89,43,83,42
Đóng phí BH máy kéo,52,96,0.0005,0.8773,0.01228,0.19313,23.19236,-0.00021,0.00871,46.57143,31.56399,33,24,24,115,46,37,47
Đóng phí BH TN bên thứ ba (DN),45,97,0.00044,0.01997,0.00185,0.0519,27.13427,0.00184,0.01197,46.57143,39.11034,29,3,3,80,48,109,54
Đóng phí BH nhân thọ,55,98,0.00097,2.60512,0.02115,0.0,59.33183,-0.00136,0.07624,46.28571,26.76885,42,36,36,27,59,23,101
Số HĐ BH xe đạp,83,99,0.00054,6.79293,0.03414,0.01751,6.84187,-2e-05,0.0008,45.14286,9.65105,35,51,51,61,38,44,36
Số HĐ BH khuyết tật,79,100,0.00046,2.90537,0.02234,0.02937,1.22251,0.0,0.00011,42.85714,14.59085,30,40,40,65,34,61,29
Thu nhập 30-45k,38,101,0.00051,0.00562,0.00098,0.04603,232.4565,-0.00493,0.03347,42.28571,41.41141,34,2,2,77,98,5,78
Số HĐ BH xe máy điện (moped),75,102,0.00137,11.87071,0.04512,0.0,0.0,0.0,0.0,41.21429,22.13003,47,62,62,27,14,61,14
Có BH nhân thọ,flag_nhan_tho,103,0.00015,1.92483,0.01818,0.28666,0.0,0.0,0.0,41.21429,39.26922,11,33,33,121,14,61,14
Có 2 ô tô,33,104,0.00013,0.35122,0.00777,0.0,245.13122,-0.00189,0.04959,37.57143,38.8066,7,13,13,27,99,16,88
Đóng phí BH máy nông nghiệp,53,105,0.00022,1.20374,0.01438,0.10993,0.0,0.0,0.0,37.35714,31.34448,17,28,28,98,14,61,14
Đóng phí BH tài sản,63,106,0.00042,0.17786,0.00553,0.10687,14.83688,-0.00081,0.00889,37.14286,29.90222,26,9,9,96,42,30,48
Số HĐ BH máy kéo,73,107,0.00022,1.7227,0.0172,0.07264,0.0,0.0,0.0,36.35714,27.88625,15,31,31,87,14,61,14
Số HĐ BH tai nạn cá nhân,77,108,4e-05,0.41973,0.00849,0.08738,1.01905,0.0,0.00042,35.64286,30.60871,2,15,15,90,33,61,33
Đóng phí BH xe đạp,62,109,0.00035,4.7963,0.0287,0.0,4.80863,-0.00015,0.00054,35.14286,8.07111,22,43,43,27,37,40,34
Có BH tài sản,flag_tai_san,110,0.00015,2.1268,0.01911,0.04473,0.0,0.0,0.0,34.64286,24.79871,10,34,34,74,14,61,14
Số HĐ BH tai nạn gia đình,78,111,0.0004,6.55776,0.03355,0.0,0.0,0.0,0.0,34.64286,18.95546,25,50,50,27,14,61,14
Đóng phí BH xe tải lớn,50,112,0.0001,0.55171,0.00974,0.08999,0.0,0.0,0.0,32.92857,31.60884,6,21,21,92,14,61,14
Đóng phí BH mô tô/scooter,49,113,0.001,0.18449,0.00563,0.0,40.45329,-0.00145,0.01641,31.28571,19.49115,43,10,10,27,52,20,57
Đóng phí BH ván lướt sóng,60,114,0.00027,0.79533,0.01169,0.01203,0.0,0.0,0.0,30.64286,20.86407,18,23,23,60,14,61,14
Số HĐ BH ván lướt sóng,81,115,0.00018,3.99816,0.0262,0.0,0.0,0.0,0.0,30.64286,18.51061,13,42,42,27,14,61,14
Đóng phí BH xe tải nhẹ,48,116,0.00014,0.24899,0.00654,0.0085,0.53618,0.0,0.00034,30.5,21.81933,8,12,12,57,31,61,32
Số HĐ BH TN bên thứ ba (nông nghiệp),67,117,0.00029,2.63648,0.02128,0.0,0.0,0.0,0.0,30.07143,16.83604,19,37,37,27,14,61,14
Số HĐ BH tài sản,84,118,0.00017,1.89166,0.01803,0.0,0.0,0.0,0.0,27.64286,17.19911,12,32,32,27,14,61,14
Số HĐ BH máy nông nghiệp,74,119,0.00022,0.91755,0.01256,0.0,0.0,0.0,0.0,26.21429,16.46931,16,25,25,27,14,61,14
Số HĐ BH rơ-moóc,72,120,0.0002,0.51739,0.00943,0.0,0.0,0.0,0.0,24.21429,17.05593,14,19,19,27,14,61,14
Đóng phí BH tai nạn cá nhân,56,121,0.00014,0.54007,0.00963,0.0,0.0,0.0,0.0,23.78571,17.57094,9,20,20,27,14,61,14
Số HĐ BH xe tải nhẹ,69,122,9e-05,0.49009,0.00918,0.0,0.0,0.0,0.0,22.5,18.49324,4,18,18,27,14,61,14
Số HĐ BH xe tải lớn,71,123,0.0001,0.46759,0.00896,0.0,0.0,0.0,0.0,22.35714,18.42036,5,17,17,27,14,61,14
Số HĐ BH mô tô/scooter,70,124,7e-05,0.42939,0.00859,0.0,0.0,0.0,0.0,21.78571,18.84334,3,16,16,27,14,61,14
Số HĐ BH TN bên thứ ba (DN),66,125,1e-05,0.00335,0.00076,0.0,0.0,0.00022,0.0,21.0,31.11672,1,1,1,27,14,88,14
